Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,r5
20192017,2022:02:25,금,2:44:04 PM,version=0.1,Test,0,3,10,5,0.005037684,178.2186,0.004972067,178.2186,0.005940881,178.2186,0.07993034,0.5595313,0.07354764,0.5595313
20192017,2022:02:25,금,2:44:35 PM,version=0.1,Test,0,3,10,5,0.004157095,178.4784,0.00526674,178.4784,0.003367578,178.4784,0.05887805,2.477729,0.08681738,2.477729
20192017,2022:02:25,금,2:44:57 PM,version=0.1,Test,0,3,10,5,0.005791469,179.1827,0.008689729,179.1827,0.004853396,179.1827,0.07215233,2.305286,0.09593984,2.305286
20192017,2022:02:25,금,2:45:23 PM,version=0.1,Test,0,3,10,5,0.003690105,177.0483,0.003534855,177.0483,0.003996502,177.0483,0.05689104,4.413839,0.09522199,4.413839
20192017,2022:02:25,금,2:45:49 PM,version=0.1,Test,0,3,10,5,0.00267937,175.9081,0.002638429,175.9081,0.003171504,175.9081,0.05474971,5.504417,0.09857547,5.504417
20192001,2022:02:25,금,3:28:57 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20192001,2022:02:25,금,3:37:02 PM,version=0.1,Test,0,3,10,5,0.003802616,178.9419,0.003540662,178.9419,0.004228046,178.9419,0.06879597,0.8613922,0.07866281,0.8613922
20192001,2022:02:25,금,3:37:36 PM,version=0.1,Test,0,3,10,5,0.005728258,179.1164,0.006432611,179.1164,0.005167218,179.1164,0.05956255,2.356425,0.08360796,2.356425
20192001,2022:02:25,금,3:38:14 PM,version=0.1,Test,0,3,10,5,0.001978578,178.4198,0.001049071,178.4198,0.00296393,178.4198,0.06949679,2.447286,0.07973561,2.447286
20192001,2022:02:25,금,3:38:44 PM,version=0.1,Test,0,3,10,5,0.002715085,179.2439,0.003076835,179.2439,0.002446356,179.2439,0.06408235,1.636499,0.08281391,1.636499
20192001,2022:02:25,금,3:39:26 PM,version=0.1,Test,0,3,10,5,0.004992429,178.3463,0.004835994,178.3463,0.005204231,178.3463,0.05779167,3.11615,0.08543056,3.11615
20192001,2022:02:25,금,3:40:13 PM,version=0.1,Test,0,3,10,5,0.005481209,179.7238,0.005750762,179.7238,0.00524648,179.7238,0.06265992,1.598142,0.07945313,1.598142
787,2022:03:07,월,9:56:55 AM,version=0.1,Test,,Start,,,,,,,,,,,,
787,2022:03:07,월,9:57:55 AM,version=0.1,Test,0,3,10,4,0.007372591,175.9859,0.009114377,175.9859,0.00622588,175.9859,0.04922716,5.218156,,
